"anime_id","title","type","source","episodes","status","aired_string","aired","aired_year","duration","duration_minutes","rating","score","scored_by","rank","popularity","members","favorites","studio","genre","main_genre"
18039,"Rescue Me!","OVA","Manga",1,"Finished Airing","Jun 20, 2013","{'from': '2013-06-20', 'to': '2013-06-20'}",2013,"27 min.",27,"R+ - Mild Nudity",6.06,10002,7216,2781,18381,7,"Hoods Entertainment","Ecchi, Harem, Romance","Ecchi"
243,"Gravitation","TV","Manga",13,"Finished Airing","Oct 4, 2000 to Jan 10, 2001","{'from': '2000-10-04', 'to': '2001-01-10'}",2000,"22 min. per ep.",22,"PG-13 - Teens 13 or older",7.2,45264,2811,1047,79012,1225,"Studio Deen","Comedy, Music, Romance, Shoujo, Shounen Ai","Comedy"
28915,"Hidamari Sketch x ☆☆☆ Recap","Special","Manga",1,"Finished Airing","Sep 26, 2012","{'from': '2012-09-26', 'to': '2012-09-26'}",2012,"1 hr. 7 min.",67,"PG-13 - Teens 13 or older",6.56,147,5372,8981,684,0,"Shaft","Slice of Life, Comedy, School","Slice of Life"
35119,"Youkai Shoujo","Music","Other",1,"Finished Airing","2010","{'from': None, 'to': None}",2005,"2 min.",2,"G - All Ages",4.58,33,12781,13319,86,0,"","Music","Music"
5034,"Shikabane Hime: Kuro","TV","Manga",12,"Finished Airing","Jan 1, 2009 to Mar 26, 2009","{'from': '2009-01-01', 'to': '2009-03-26'}",2009,"24 min. per ep.",24,"R - 17+ (violence & profanity)",7.4,25394,2044,1435,55307,101,"Gainax, feel.","Action, Horror","Action"
32415,"Garo: Honoo no Kokuin - Home","Special","Original",1,"Finished Airing","Sep 16, 2015","{'from': '2015-09-16', 'to': '2015-09-16'}",2015,"23 min.",23,"PG-13 - Teens 13 or older",6.89,1994,3948,4634,5683,3,"MAPPA","Action, Demons, Supernatural, Magic, Fantasy","Action"
11339,"A-Channel+smile","OVA","Manga",2,"Finished Airing","Mar 21, 2012","{'from': '2012-03-21', 'to': '2012-03-21'}",2012,"25 min. per ep.",25,"PG-13 - Teens 13 or older",7.18,8535,2879,2937,16536,10,"Studio Gokumi","Comedy, School, Seinen, Slice of Life","Comedy"
30437,"Wakako-zake","TV","Manga",12,"Finished Airing","Jul 5, 2015 to Sep 20, 2015","{'from': '2015-07-05', 'to': '2015-09-20'}",2015,"2 min. per ep.",2,"PG-13 - Teens 13 or older",6.69,13304,4823,2363,24908,87,"Office DCI","Seinen, Slice of Life","Seinen"
7452,"Mini Moni Yaru no da Pyon!","TV","Other",66,"Finished Airing","Jun 4, 2001 to Oct 26, 2001","{'from': '2001-06-04', 'to': '2001-10-26'}",2001,"1 min. per ep.",1,"G - All Ages",4.48,48,11262,11160,207,0,"","Comedy","Comedy"
37784,"Tokino Kousa","Special","Original",1,"Finished Airing","Apr 20, 2018","{'from': '2018-04-20', 'to': '2018-04-20'}",2018,"1 min.",1,"G - All Ages",6.05,44,12456,11232,208,0,"","Dementia","Dementia"
30080,"Inishie no Megami to Houseki no Ite","ONA","Game",2,"Finished Airing","Jul 4, 2014 to Aug 19, 2015","{'from': '2014-07-04', 'to': '2015-08-19'}",2014,"58 sec. per ep.",0.97,"PG-13 - Teens 13 or older",5.84,100,7710,10629,274,0,"","Action","Action"
1300,"Omishi Mahou Gekijou: Risky★Safety","TV","Manga",24,"Finished Airing","Oct 5, 1999 to Apr 4, 2000","{'from': '1999-10-05', 'to': '2000-04-04'}",1999,"10 min. per ep.",10,"PG - Children",6.76,761,4508,6360,2536,3,"APPP","Comedy, Shounen","Comedy"
900,"Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin","Movie","Manga",1,"Finished Airing","Jul 11, 1992","{'from': '1992-07-11', 'to': '1992-07-11'}",1992,"45 min.",45,"PG-13 - Teens 13 or older",7.08,41599,3259,1223,66662,21,"Toei Animation","Action, Sci-Fi, Adventure, Comedy, Fantasy, Shounen","Action"
5900,"Jean Valjean Monogatari","Special","Other",1,"Finished Airing","Sep 15, 1979","{'from': '1979-09-15', 'to': '1979-09-15'}",1979,"1 hr. 9 min.",69,"G - All Ages",6.33,77,6266,9401,535,0,"","Drama","Drama"
33323,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru","OVA","Manga",1,"Finished Airing","Dec 20, 2016","{'from': '2016-12-20', 'to': '2016-12-20'}",2016,"12 min.",12,"PG-13 - Teens 13 or older",8.2,9188,315,2697,19656,80,"TMS Entertainment","Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","Comedy"
9608,"Yuri Seijin Naoko-san","OVA","Manga",1,"Finished Airing","Dec 18, 2010","{'from': '2010-12-18', 'to': '2010-12-18'}",2010,"6 min.",6,"PG-13 - Teens 13 or older",5.9,5913,7582,3466,11535,6,"ufotable","Comedy, Shoujo Ai","Comedy"
9392,"Shounen Jack to Mahoutsukai","Movie","Other",1,"Finished Airing","Mar 19, 1967","{'from': '1967-03-19', 'to': '1967-03-19'}",1967,"1 hr. 20 min.",80,"G - All Ages",5.45,108,8461,10269,336,0,"Toei Animation","Adventure, Fantasy","Adventure"
17020,"D.C.III: Da Capo III Special","Special","Other",1,"Finished Airing","Dec 31, 2012","{'from': '2013-12-31', 'to': '2013-12-31'}",2013,"23 min.",23,"PG-13 - Teens 13 or older",6.46,1282,5752,5557,3594,0,"Kazami Gakuen Koushiki Douga-bu","Romance, Music, School, Drama","Romance"
9917,"Pokemon Best Wishes!: Victini to Kuroki Eiyuu Zekrom","Movie","Game",1,"Finished Airing","Jul 16, 2011","{'from': '2011-07-16', 'to': '2011-07-16'}",2011,"1 hr. 36 min.",96,"PG - Children",6.85,13174,4121,2458,23359,8,"Production I.G, Xebec, OLM","Adventure, Comedy, Drama, Fantasy, Kids","Adventure"
36956,"Jewelry The Animation","OVA","Manga",1,"Finished Airing","Jan 5, 2018","{'from': '2018-01-05', 'to': '2018-01-05'}",2018,"16 min.",16,"Rx - Hentai",6.38,598,NA,7537,1446,4,"BOOTLEG","Hentai, Romance","Hentai"
35626,"Yao Shen Ji","ONA","Book",40,"Finished Airing","May 9, 2017 to Sep 22, 2017","{'from': '2017-05-09', 'to': '2017-09-22'}",2017,"8 min. per ep.",8,"PG-13 - Teens 13 or older",7.5,1077,1653,6246,2687,30,"","Action, Adventure, Demons, Romance, Martial Arts, Fantasy","Action"
32254,"Ijigen Gattai Mojibakeru Z","ONA","Other",1,"Finished Airing","Jun 29, 2014","{'from': '2014-06-29', 'to': '2014-06-29'}",2014,"17 min.",17,"G - All Ages",5,31,10548,12938,102,0,"","Game, Kids","Game"
23659,"Hi no Tori: Hagoromo-hen","Movie","Other",1,"Finished Airing","Jul 17, 2004","{'from': '2004-07-17', 'to': '2004-07-17'}",2004,"25 min.",25,"G - All Ages",6.48,27,10430,11011,222,0,"","Drama","Drama"
34324,"Chiryokumaru","ONA","Original",1,"Finished Airing","Nov 1, 2016","{'from': '2016-11-01', 'to': '2016-11-01'}",2016,"2 min.",2,"PG-13 - Teens 13 or older",5.14,770,8901,7455,1498,0,"Studio 4°C","Action","Action"
5710,"Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!","Movie","Other",1,"Finished Airing","Mar 7, 2009","{'from': '2009-03-07', 'to': '2009-03-07'}",2009,"1 hr. 18 min.",78,"PG - Children",7.53,1119,1556,6334,2561,7,"Sunrise","Comedy","Comedy"
28825,"Himouto! Umaru-chan","TV","Manga",12,"Finished Airing","Jul 9, 2015 to Sep 24, 2015","{'from': '2015-07-09', 'to': '2015-09-24'}",2015,"24 min. per ep.",24,"PG-13 - Teens 13 or older",7.4,147953,2022,247,272482,2748,"Doga Kobo","Comedy, School, Seinen, Slice of Life","Comedy"
27839,"Ticonderonga no Iru Umi","OVA","Other",1,"Finished Airing","1991","{'from': None, 'to': None}",1999,"28 min.",28,"G - All Ages",8,5,12436,13055,96,0,"","Kids, Historical, Drama","Kids"
